frame_num;frame_epoch_time;ip_src;tcp_srcport;ip_ttl;ip_id;DF;tcp_tsval;tcp_seq;tcp_flags;tcp_stream;payload_len
158940;1569175710.2847059;110.80.155.86;60572;53;0x0000e91d;1;1210614609.0;3295898188;0x00000002;2562;0
158948;1569175710.845093;110.80.155.86;60696;53;0x00004cdc;1;1210614747.0;868929287;0x00000002;2563;0
240769;1569176153.327127;222.94.163.178;36110;55;0x0000ee99;1;1210734157.0;3729373396;0x00000002;3557;0
318527;1569176779.173269;182.138.215.236;49008;53;0x00009680;1;1210904224.0;1085044768;0x00000002;4955;0
377759;1569177322.876012;116.252.2.14;44032;52;0x00000c8b;1;1211022914.0;1592636105;0x00000002;5847;0
377841;1569177323.665376;116.252.2.14;44338;52;0x0000aa96;1;1211023110.0;4136179088;0x00000002;5848;0
387785;1569177358.896122;112.66.97.98;55494;53;0x0000b16d;1;1211035535.0;3205979874;0x00000002;5974;0
391397;1569177364.3268578;113.128.104.18;55804;53;0x0000ead0;1;1211029950.0;2722706286;0x00000002;5984;0
391410;1569177365.324449;113.128.104.18;55804;53;0x0000ead1;1;1211030200.0;2722706286;0x00000002;5984;0
408085;1569177482.3899949;116.252.2.14;50976;52;0x0000405f;1;1211062792.0;3853851223;0x00000002;6298;0
408334;1569177482.600366;116.252.2.14;51062;52;0x00006d55;1;1211062845.0;4088936296;0x00000002;6300;0
417900;1569177565.052408;175.184.166.207;57880;52;0x000031a4;1;1211087078.0;3916333997;0x00000002;6408;0
417915;1569177568.720998;175.184.166.207;59978;52;0x0000eb02;1;1211087995.0;317018764;0x00000002;6409;0
453905;1569177739.1385562;116.252.2.205;36368;52;0x0000906f;1;1211144223.0;1509754992;0x00000002;6976;0
454060;1569177739.3496997;124.90.48.149;59368;53;0x0000175e;1;1211127030.0;536363944;0x00000002;6979;0
20151;1569178271.728928;221.13.12.169;57718;51;0x0000f5ca;1;1211254981.0;1209908495;0x00000002;392;0
28637;1569178332.642599;220.200.157.134;37704;51;0x00005d4d;1;1211275349.0;2666251544;0x00000002;508;0
28646;1569178332.7604358;220.200.157.134;37794;51;0x0000b8bd;1;1211275378.0;260841679;0x00000002;509;0
54723;1569178585.08036;121.57.227.95;59098;53;0x0000a6dd;1;1211355715.0;3190977694;0x00000002;970;0
54757;1569178585.22489;121.57.227.95;59190;53;0x0000dd4f;1;1211355751.0;3569094440;0x00000002;971;0
66474;1569178704.207651;222.94.140.2;40824;55;0x00006b3a;1;1211385496.0;1783770530;0x00000002;1149;0
66488;1569178704.3532338;222.94.140.2;40904;55;0x0000a424;1;1211385534.0;2062279322;0x00000002;1151;0
67930;1569178712.663968;58.19.92.202;10699;52;0x0000016c;1;1211367027.0;1881014047;0x00000002;1190;0
67949;1569178712.800072;58.19.92.202;11260;52;0x000081df;1;1211367061.0;930447178;0x00000002;1191;0
102890;1569178880.206625;221.13.12.120;55644;52;0x00009a81;1;1211408908.0;3268753549;0x00000002;1531;0
102911;1569178880.39767;113.128.105.98;34226;53;0x0000b5dd;1;1211415937.0;969214044;0x00000002;1532;0
180412;1569179411.310213;123.160.174.222;40732;53;0x000006a1;1;1211545016.0;1864807193;0x00000002;2798;0
180418;1569179411.3692772;123.160.174.222;40748;53;0x00006170;1;1211545031.0;3908097207;0x00000002;2799;0
225730;1569179829.1349788;220.200.165.113;47792;51;0x0000fb89;1;1211666744.0;2196269745;0x00000002;3742;0
227311;1569179842.368406;220.200.165.113;54222;51;0x0000efec;1;1211670058.0;3018748358;0x00000002;3810;0
227361;1569179842.501819;220.200.165.113;54290;51;0x0000440e;1;1211670088.0;3890797126;0x00000002;3811;0
231515;1569179851.600016;220.175.70.25;23408;53;0x0000c3cf;1;838555868.0;3392903955;0x00000002;3869;0
284293;1569180263.097384;124.235.138.209;52474;53;0x0000620b;1;1211761468.0;717644087;0x00000002;4642;0
