host,asn,asname,cc,registry
113.128.104.57,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.184.167.40,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.120.11.202,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
106.59.214.160,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.128.105.45,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
117.15.93.98,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
106.47.30.126,AS17638,"CHINATELECOM-TJ-AS-AP ASN for TIANJIN Provincial Net of CT, CN",CN,apnic
221.11.20.167,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.200.158.210,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.198.82.51,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.157.192.18,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
182.245.45.227,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
1.80.1.118,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.193.171.83,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
